SMILES,H2
*N1C(=O)C2=C(C=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,4.445
*N1C(=O)C2=C(C=C3C(=O)N(C(=O)C3=C2)C2=CC=CC(OC3=CC(*)=CC=C3)=C2)C1=O,3.6
*N1C(=O)C2=C(C=C3SC4=C(SC3=C2)C=C2C(=O)N(C(=O)C2=C4)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C1=O,11.0
*N1C(=O)C2=CC3=C(C=C2C1=O)C(=O)N(C3=O)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,10.6
*N1C(=O)C2=CC3=C(C=C2C1=O)C(=O)N(C3=O)C1=CC=CC(OC2=CC=C(*)C=C2)=C1,5.92
*N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,4.79
*N1C(=O)C2=CC=C(C=C2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(*)C=C1,11.3
*N1C(=O)C2=CC=C(C=C2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(CC2=CC=C(*)C=C2)C=C1,9.1
*N1C(=O)C2=CC=C(C=C2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,3.68
*N1C(=O)C2=CC=C(OC3=CC=C(OC4=CC5=C(C=C4)C(=O)N(C5=O)C4=CC=C(CC5=CC=C(*)C=C5)C=C4)C=C3)C=C2C1=O,5.08
*N1C(=O)C2=CC=C(OC3=CC=C(OC4=CC5=C(C=C4)C(=O)N(C5=O)C4=CC=CC(*)=C4)C=C3)C=C2C1=O,3.75
*N1C(=O)C2C=C3C(=O)N(C(=O)C3=CC2C1=O)C1=CC(OC2=CC(*)=CC=C2)=CC=C1,3.6
*N1C(=O)C2C=CC(=CC2C1=O)C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=C(*)C=C1,12.7
*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=C(*)C=C1,14.7
*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(*)C=C1,8.8
*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(CC2=CC=C(*)C=C2)C=C1,6.5
*N1C(=O)C2C=CC(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(C=C3)N(C3=CC=CC=C3)C3=CC=C(*)C=C3)=CC2C1=O,11.6
*N=P(*)(OC1=CC=CC=C1)OC1=CC=CC=C1,7.5
*NC1=CC=C(*)C=C1,3.66
*NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NC(=O)C2=CC(=CC(=C2)C2=CC=CC=C2)C(*)=O)C=C1,7.6
*NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(NC(=O)C2=CC(=CC=C2)C(*)=O)C=C1,4.3
*NCCCCCCCCCCC(*)=O,2.63
*OC(=O)OC1=CC=C(C=C1)C1(CC2CCC1C2)C1=CC=C(*)C=C1,22.0
*OC(=O)OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(*)C=C1,9.1
*OC1=C(C=C(*)C=C1C1=CC=CC=C1)C1=CC=CC=C1,28.0
*OC1=CC2=C(C=C1)C(=O)N1C3=C(C=C(OC4=CC5=C(C=C4)N=C4N5C(=O)C5=C4C=CC(*)=C5)C=C3)N=C21,6.88
*OC1=CC2=C(C=C1)N=C(C1=CC=CC=C1)C(=N2)C1=CC=C(C=C1)C1=NC2=C(C=CC(*)=C2)N=C1C1=CC=CC=C1,17.2
*OC1=CC2=C(C=C1O*)C1(C3=C2C=CC=C3)C2=C(C=CC=C2)C2=C1C=C1OC3=C(OC1=C2)C(C#N)=C(*)C(*)=C3C#N,5780.0
*OC1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,8.38
*OC1=CC=C(C=C1)C1(C2CC3CC(C2)CC1C3)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,17.3
*OC1=CC=C(C=C1)C1(NC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,9.91
*OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1,19.7
*OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,10.05
*OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(OC(=C)C2=CC=C(C=C2)C2=CC=C(C=C2)C(*)=O)C=C1,10.4
*OC1=CC=C(C=C1)C1(OC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,11.7
*OC1=CC=C(C=C1)C1(OC(=O)C2C=CC=CC12)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,7.51
*OC1=CC=C(C=C1)C12CC3CC(C1)CC(C3)(C2)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,27.8
*OC1=CC=C(C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,28.0
*OC1=CC=C(C=C1)C1=NN(C2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C(=O)C2=C1C=CC=C2,2.4
